"id","order_id","client_id","item_id","merchant_id","date_created","item_name","order_notes","normal_price","discounted_price","size","qty","cooking_ref","addon","ingredients","non_taxable"
"330480","147541","6318","8877","109","2020-09-02","Two chicken",,"7900.0000","7900.0000","regular","1",,"[]",,"1"
"330481","147541","6318","8879","109","2020-09-02","Taquitos",,"6900.0000","6900.0000","regular","1",,"[]",,"1"
"330482","147542","8753","6783","18","2020-09-02","Peperoni",,"5800.0000","5800.0000","regular","1",,"[]",,"1"
"330483","147542","8753","6782","18","2020-09-02","Diavola",,"7500.0000","7500.0000","regular","1",,"[]",,"1"
"330484","147542","8753","6780","18","2020-09-02","Prosciuto",,"7500.0000","7500.0000","regular","1",,"[]",,"1"
"330485","147542","8753","6777","18","2020-09-02","Margherita",,"6500.0000","6500.0000","regular","1",,"[]",,"1"
"330486","147542","8753","6784","18","2020-09-02","Romana",,"7800.0000","7800.0000","regular","1",,"[]",,"1"
"330487","147543","16444","349","3","2020-09-02","Veggie Burrito",,"4500.0000","4500.0000","regular","1",,"[{""addon_name"":""Grilled onions & peppers"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Pico de Gallo"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Guacamole"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Cheese"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Honey lime dressing"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Rice"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Beans"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Medium salsa"",""addon_category"":""Sides"",""addon_qty"":1,""addon_price"":0},{""addon_name"":""Chips & guacamole"",""addon_category"":""ACCOMPANIMENTS"",""addon_qty"":1,""addon_price"":600}]",,"1"
"330488","147544","10600","12597","154","2020-09-02","Beef Roast",,"4500.0000","4500.0000","1 Kg","1",,"[]",,"1"
"330489","147544","10600","12600","154","2020-09-02","Beef Mix",,"2800.0000","2800.0000","1 Kg","1",,"[]",,"1"
"330490","147544","10600","13205","154","2020-09-02","Liver",,"4000.0000","4000.0000","1 Kg","1",,"[]",,"1"
"330491","147545","3012","1341","22","2020-09-02","Shanghai Rice",,"4000.0000","4000.0000","regular","1",,"[]",,"1"
"330492","147545","3012","8263","22","2020-09-02","Sweet & Sour Chicken",,"9000.0000","9000.0000","regular","1",,"[]",,"1"
